"species" "Lineage_Name" "parasiteGenus" "continent" "country" "Migratory_Status"
"Turdus merula" "TUMER02" "Leucocytozoon" "Europe" "Portugal" "Temperate_resident"
"Turdus merula" "SYAT05" "Plasmodium" "Asia" "Iran" "Temperate_resident"
"Turdus merula" "TURDUS2" "Haemoproteus" "Asia" "Russia" "Temperate_resident"
"Turdus merula" "TURDUS2" "Haemoproteus" "Europe" "Sweden" "Temperate_resident"
"Turdus merula" "TURDUS2" "Haemoproteus" "Europe" "Portugal" "Temperate_resident"
"Turdus merula" "TURDUS2" "Haemoproteus" "Europe" "Germany" "Temperate_resident"
"Turdus merula" "TURDUS2" "Haemoproteus" "Asia" "Armenia" "Temperate_resident"
"Turdus merula" "TUMER01" "Leucocytozoon" "Africa" "Morocco" "Temperate_resident"
"Turdus merula" "TUMER01" "Leucocytozoon" "Europe" "Portugal" "Temperate_resident"
"Turdus merula" "TUMER01" "Leucocytozoon" "Europe" "Portugal" "Temperate_resident"
"Turdus merula" "TUMER01" "Leucocytozoon" "Europe" "Portugal" "Temperate_resident"
"Turdus merula" "TURDUS2" "Haemoproteus" "Asia" "Armenia" "Temperate_resident"
"Turdus merula" "TURDUS2" "Haemoproteus" "Europe" "Italy" "Temperate_resident"
"Turdus merula" "TURDUS2" "Haemoproteus" "Asia" "Armenia" "Temperate_resident"
"Turdus merula" "TURDUS2" "Haemoproteus" "Asia" "Armenia" "Temperate_resident"
"Turdus merula" "TURDUS2" "Haemoproteus" "Europe" "Portugal" "Temperate_resident"
"Turdus merula" "TURDUS2" "Haemoproteus" "Asia" "Armenia" "Temperate_resident"
"Turdus merula" "TURDUS2" "Haemoproteus" "Asia" "Russia" "Temperate_resident"
"Turdus merula" "TURDUS2" "Haemoproteus" "Asia" "Armenia" "Temperate_resident"
"Turdus merula" "TURDUS2" "Haemoproteus" "Europe" "Portugal" "Temperate_resident"
"Turdus merula" "TUMER04" "Plasmodium" "Africa" "Morocco" "Temperate_resident"
"Turdus migratorius" "AFTRU5" "Plasmodium" "North America" "United States" "Migratory"
"Turdus migratorius" "SYAT05" "Plasmodium" "North America" "United States" "Migratory"
"Turdus migratorius" "CATUST05" "Plasmodium" "North America" "United States" "Migratory"
"Turdus migratorius" "CATUST22" "Haemoproteus" "North America" "United States" "Migratory"
"Turdus migratorius" "BT7" "Plasmodium" "North America" "United States" "Migratory"
"Turdus migratorius" "TUMIG07" "Haemoproteus" "North America" "United States" "Migratory"
"Turdus migratorius" "COLBF28" "Leucocytozoon" "North America" "United States" "Migratory"
"Turdus migratorius" "BT7" "Plasmodium" "North America" "United States" "Migratory"
"Turdus migratorius" "TUMIG13" "Leucocytozoon" "North America" "United States" "Migratory"
"Turdus migratorius" "PADOM11" "Plasmodium" "North America" "United States" "Migratory"
"Turdus migratorius" "TURDUS2" "Haemoproteus" "North America" "United States" "Migratory"
"Turdus migratorius" "TUMIG03" "Plasmodium" "North America" "United States" "Migratory"
"Turdus migratorius" "TURDUS2" "Haemoproteus" "North America" "United States" "Migratory"
"Turdus migratorius" "LINN1" "Plasmodium" "North America" "United States" "Migratory"
"Turdus migratorius" "LAIRI01" "Plasmodium" "North America" "United States" "Migratory"
"Turdus migratorius" "BT7" "Plasmodium" "North America" "United States" "Migratory"
"Turdus migratorius" "TUMIG02" "Plasmodium" "North America" "United States" "Migratory"
"Turdus migratorius" "BT7" "Plasmodium" "North America" "United States" "Migratory"
"Turdus migratorius" "SYAT05" "Plasmodium" "North America" "United States" "Migratory"
"Turdus migratorius" "TURDUS2" "Haemoproteus" "North America" "United States" "Migratory"
"Turdus migratorius" "SYAT05" "Plasmodium" "North America" "United States" "Migratory"
"Turdus migratorius" "CATMIN05" "Leucocytozoon" "North America" "United States" "Migratory"
"Turdus migratorius" "TUMIG08" "Haemoproteus" "North America" "United States" "Migratory"
"Turdus migratorius" "TUMIG08" "Haemoproteus" "North America" "United States" "Migratory"
"Turdus migratorius" "CATUST06" "Plasmodium" "North America" "United States" "Migratory"
"Turdus migratorius" "TUMIG09" "Leucocytozoon" "North America" "United States" "Migratory"
"Turdus migratorius" "SEIAUR01" "Plasmodium" "North America" "United States" "Migratory"
"Turdus migratorius" "TUMIG03" "Plasmodium" "North America" "United States" "Migratory"
"Turdus migratorius" "COLBF28" "Leucocytozoon" "North America" "United States" "Migratory"
"Turdus migratorius" "TUMIG04" "Plasmodium" "North America" "United States" "Migratory"
"Turdus migratorius" "TUMIG03" "Plasmodium" "North America" "United States" "Migratory"
"Turdus migratorius" "TUMIG03" "Plasmodium" "North America" "United States" "Migratory"
"Turdus migratorius" "BT7" "Plasmodium" "North America" "United States" "Migratory"
"Turdus migratorius" "TUMIG11" "Leucocytozoon" "North America" "United States" "Migratory"
"Turdus migratorius" "TUMIG12" "Leucocytozoon" "North America" "United States" "Migratory"
"Turdus migratorius" "TUMIG08" "Haemoproteus" "North America" "United States" "Migratory"
"Turdus migratorius" "TUMIG14" "Leucocytozoon" "North America" "United States" "Migratory"
"Turdus migratorius" "CATUST05" "Plasmodium" "North America" "United States" "Migratory"
"Turdus migratorius" "DENPET03" "Plasmodium" "North America" "United States" "Migratory"
"Turdus migratorius" "TUMIG09" "Leucocytozoon" "North America" "United States" "Migratory"
"Turdus migratorius" "TUMIG09" "Leucocytozoon" "North America" "United States" "Migratory"
"Turdus migratorius" "TUMIG19" "Leucocytozoon" "North America" "United States" "Migratory"
"Turdus migratorius" "COLBF32" "Leucocytozoon" "North America" "United States" "Migratory"
"Turdus migratorius" "TUMIG05" "Plasmodium" "North America" "United States" "Migratory"
