#no	Lineage_Name	Alt_Lineage_Name	parasiteGenus	order	family	genus	species	subspecies	Host_Status	Host_Age	Host_Environment	continent	country	region	site	coordinates	found	tested	Reference_Name	comment
8972	TUCHR01	 	Haemoproteus	Passeriformes	Turdidae	Turdus	Turdus pilaris	 	 	 	Wild	Asia	Russia	Sverdlovskaya Oblast'	Ural Mountains	57°20.00000', 059°49.00000'	4	13	Palinauskas et al 2013	 
8973	TUCHR01	 	Haemoproteus	Passeriformes	Turdidae	Turdus	Turdus mupinensis	 	Migratory	 	Wild	Asia	China	Gansu	 	 	1	4	Zehtindjiev et al 2013	 
8974	TUCHR01	 	Haemoproteus	Passeriformes	Turdidae	Turdus	Turdus iliacus	 	Migratory	Juvenile	Wild	Europe	Sweden	 	Kvismaren	59°10.00000', 015°25.00000'	1	1	Nilsson et al 2016	 
8975	TUCHR01	 	Haemoproteus	Passeriformes	Turdidae	Turdus	Turdus cardis	 	Migratory	Unknown	Captivity	Asia	Japan	 	Gyotoku Wild Bird Hospital	35°40.10030’, 139°54.94480'	1	1	Inumaru et al 2017	injured and rescued wild birds; same individual as TUCAR02
8976	TUCHR01	 	Haemoproteus	Passeriformes	Turdidae	Turdus	Turdus pallidus	 	Migratory	Unknown	Wild	Asia	Japan	Okinawa	 	 	 	 	Murata et al unpubl	 
8977	TUFAL01	ChL9	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus falcklandii	 	 	 	Wild	South America	Chile	 	 	 	 	 	Merino et al 2008	 
8978	TUFAL01	ChL9	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus falcklandii	 	Resident	Unknown	Wild	South America	Chile	 	Robinson Crusoe Island	-33°28.00000', -078°50.00000'	4	8	Martinez et al 2015	 
8979	TUFAL02	ChL4	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus falcklandii	 	 	 	Wild	South America	Chile	 	 	 	 	 	Merino et al 2008	 
8980	TUFAL03	ChL10	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus falcklandii	 	 	 	Wild	South America	Chile	 	 	 	 	 	Merino et al 2008	 
8981	TUFAL04	JFL1	Leucocytozoon	Passeriformes	Turdidae	Turdus	Turdus falcklandii	 	Resident	Unknown	Wild	South America	Chile	 	Robinson Crusoe Island	-33°28.00000', -078°50.00000'	4	8	Martinez et al 2015	 
